firstName,lastName,birthDate,classNum,classLet
"Mona","Mayer","20.10.2012","8","G"
"Louisa","Ashley","19.10.2010","7","A"
"Joey","Wilkinson","20.11.2005","2","F"
"Effie","Hayden","19.01.2008","4","F"
"Ned","Garcia","13.09.2010","6","B"
"Robt","Cochran","03.09.2015","2","C"
"Joanna","Santiago","21.10.2007","6","D"
"Ron","Hendrix","14.04.2018","5","D"
"Marianne","Pope","27.02.2010","1","G"
"Cynthia","Cleveland","08.02.2011","4","D"
"Eric","Wagner","17.01.2010","4","D"
"Edward","Watkins","27.07.2012","7","F"
"Vern","Nichols","01.12.2011","11","C"
"Susie","Norman","25.04.2007","5","C"
"Wilburn","Melendez","10.03.2007","11","B"
"Jessie","Richard","17.10.2010","3","E"
"Karla","Hendricks","03.02.2006","5","D"
"Ronny","Wolf","03.05.2018","4","B"
"Pete","Hebert","01.04.2007","10","E"
"Jasper","Pope","14.10.2009","1","D"
"Brendan","Cunningham","27.03.2008","10","C"
"Edna","Dean","22.04.2005","9","C"
"Shelby","Puckett","27.01.2016","2","A"
"Deanna","Garcia","03.07.2009","10","B"
"Rocky","Massey","19.08.2011","8","F"
"Norbert","Howell","25.06.2018","1","B"
"Therese","Ruiz","03.12.2017","7","E"
"Theron","Harding","11.10.2008","7","D"
"Letitia","Bowman","23.10.2009","8","A"
"Doris","Shields","13.08.2012","2","F"
"Nell","Rice","21.10.2008","6","D"
"Valerie","Hatfield","19.04.2015","6","G"
"Hester","Flowers","14.09.2008","2","G"
"Sylvester","Mckinney","26.06.2013","1","B"
"Leah","Browning","01.12.2013","4","G"
"Marshall","Bruce","19.06.2010","11","B"
"Bettie","Kirkland","12.07.2011","2","D"
"Trudy","Craft","26.08.2007","8","C"
"Cole","Webster","16.02.2016","8","B"
"Lloyd","Wolfe","19.07.2016","9","G"
"Steve","Snider","14.04.2012","4","F"
"Ramiro","Webb","26.02.2009","10","A"
"Walker","Wheeler","03.05.2016","3","C"
"Adam","Yang","23.09.2013","10","G"
"Chris","Collins","04.06.2008","5","B"
"Marvin","Perry","13.09.2008","11","B"
"Fredric","Palmer","16.03.2011","9","C"
"Ken","Rojas","02.07.2006","1","G"
"Parker","Travis","19.02.2012","4","B"
"Evelyn","Soto","17.01.2018","6","C"
"Debbie","Blevins","10.11.2012","5","A"
"Lourdes","Mcleod","11.09.2011","3","F"
"Ramiro","Mccarty","19.11.2007","6","F"
"Patricia","Watson","07.03.2013","2","E"
"Todd","Rich","14.09.2016","10","F"
"Tanisha","Abbott","07.08.2009","7","G"
"Orlando","Booth","24.03.2012","5","F"
"Rosalyn","Potter","16.10.2005","1","D"
"Lindsey","Blair","22.04.2016","11","C"
"Natalie","Vasquez","06.02.2006","11","A"
"Jared","Poole","12.11.2013","1","B"
"Molly","Murray","19.10.2010","1","C"
"Lonnie","Kramer","03.02.2006","4","G"
"Milagros","Estes","17.02.2007","3","B"
"Rupert","Hill","26.06.2016","7","F"
"Patricia","Clayton","14.03.2012","5","F"
"Lynette","Waters","10.09.2009","4","F"
"Kelly","Barrett","07.07.2009","8","D"
"Olive","Mcmillan","16.02.2008","7","D"
"Lenard","Foreman","13.05.2015","3","E"
"Horace","Hebert","16.03.2010","6","A"
"Everett","Manning","28.02.2009","6","G"
"Brady","Maynard","28.04.2007","11","B"
"Delia","Lang","08.10.2012","3","C"
"Luz","Dickerson","05.10.2014","8","F"
"Joseph","Heath","28.05.2014","1","C"
"Magdalena","Ochoa","26.08.2014","5","A"
"Silas","Byrd","01.07.2007","6","D"
"Duane","Barry","10.05.2005","3","G"
"Sonny","Dillard","19.03.2013","11","C"
"Vivian","Walters","13.05.2011","3","F"
"Roger","Chaney","05.12.2005","6","D"
"Morgan","Kline","16.03.2016","6","C"
"Elliott","Fletcher","01.01.2017","9","B"
"Alisha","Ruiz","14.12.2005","11","D"
"Fay","Wade","01.07.2006","10","B"
"Hector","Lyons","24.05.2005","2","G"
"Waldo","Barry","10.01.2006","4","A"
"Deandre","Beck","11.09.2015","11","C"
"Ward","Stokes","27.08.2008","9","E"
"Clarice","Manning","08.02.2008","8","B"
"George","Maxwell","22.12.2008","3","E"
"Helga","Hill","06.05.2018","6","B"
"Loretta","Quinn","02.08.2017","6","B"
"Charmaine","Tyler","04.05.2011","3","F"
"Mitchell","Curtis","27.10.2015","7","G"
"Elton","Wilder","14.01.2010","6","C"
"Bret","Barber","18.10.2006","7","C"
"Wayne","Hernandez","21.02.2015","7","C"
"Erin","Cervantes","18.05.2013","8","E"
