firstName,lastName,birthDate,uid
"Gordon","Woodward","09.05.1974","327"
"Anderson","Frank","16.03.1994","561"
"Garland","Bernard","02.12.1994","983"
"Billy","Lancaster","02.06.1984","373"
"Roscoe","Livingston","15.10.1973","18"
"Alphonso","Gaines","23.03.1992","523"
"Irving","Harrell","12.11.1974","667"
"Daren","Stewart","18.09.1972","180"
"Susanna","Stanley","26.05.1984","610"
"Sylvester","Mooney","27.12.1974","721"
"Alexis","Church","10.11.1983","669"
"Darryl","Juarez","10.04.1977","38"
"Kerry","Carey","25.02.1970","715"
"Cornell","Kirby","21.02.1978","643"
"Debra","Brewer","02.07.1993","9"
"Nicholas","Barker","21.02.1991","924"
"Carole","Mcdonald","18.08.1989","476"
"Patrice","Washington","26.08.1990","117"
"Boris","Richard","03.07.1972","849"
"Jeannette","Daniel","12.05.1971","836"
"Max","Howell","08.04.1995","342"
"Orval","Lynn","14.07.1986","490"
"Deanne","Delgado","07.05.1998","369"
"Savannah","Rodgers","05.11.1970","587"
"Traci","Keith","26.07.1977","791"
"Saundra","Aguilar","27.06.1990","522"
"Bart","Walter","21.12.1985","820"
"Gregg","Pitts","11.01.1972","22"
"Rich","Brooks","19.09.2000","772"
"Florence","Snow","23.06.1983","51"
"Avis","Burris","12.05.1999","694"
"Elisa","Hobbs","06.03.1978","911"
"Laurie","Stephenson","03.07.1975","858"
"Maxwell","Sutton","20.07.1979","132"
"Dannie","Nieves","05.08.1984","713"
"Maurice","Mckay","04.11.1992","540"
"Allan","Dorsey","15.12.1978","558"
"Joesph","Bowman","23.05.1980","835"
"Luella","Guthrie","17.12.1971","266"
"Herschel","Carr","01.12.1971","246"
"Janelle","Riggs","17.05.1978","422"
"Alfredo","Grimes","20.06.1991","359"
"Denis","Bradford","14.06.2000","32"
"Toni","Foley","18.10.1980","637"
"Jeannette","Carrillo","22.11.1974","788"
"Myron","Navarro","21.01.1983","987"
"Cory","Oneal","28.08.1987","520"
"Fernando","Reese","10.10.2000","952"
"Yvette","Gentry","05.04.1978","126"
"Theresa","Mcgee","15.12.1985","386"
"Jared","Bauer","13.09.1980","328"
"Kelvin","Strickland","24.05.1994","365"
"Myra","Benton","13.05.1971","256"
"Rae","William","28.12.1982","317"
"Estella","Mathis","02.07.2000","289"
"Billy","Kline","25.08.1995","403"
"Roscoe","Spence","27.07.1983","359"
"Jason","Fry","28.09.1987","702"
"Gale","Cooper","24.09.1970","110"
"Ashley","Diaz","21.12.1977","828"
"Marquita","Lane","13.02.1973","839"
"Sophie","Mcmahon","10.02.1982","795"
"Lola","Oneill","02.12.1970","226"
"Reba","Lara","08.09.1979","467"
"Dan","Harrington","14.04.1998","267"
"Bobbie","Morton","10.06.1989","796"
"Avis","Phelps","28.07.1996","164"
"Sondra","Spence","07.03.1999","923"
"Wilma","Cross","24.11.1984","581"
"Reuben","Fisher","20.04.1995","657"
"Vicki","Ferrell","07.08.1991","642"
"Alec","Olsen","02.05.1988","986"
"Devon","Macdonald","02.11.1998","388"
"Lucile","Hansen","11.09.1982","564"
"Garth","Dodson","14.02.1995","479"
"Alma","Buck","03.09.1992","658"
"Wm","Dixon","01.02.1995","182"
"Hannah","Garrison","13.02.1982","78"
"Jarrett","Perry","26.03.1976","138"
"Kate","Hale","28.07.1988","880"
"Marcia","Joseph","08.12.1998","574"
"Georgia","Blankenship","08.10.1982","733"
"Megan","Bird","17.11.1978","908"
"Velma","Flynn","05.08.1993","259"
"Reynaldo","Rhodes","18.09.1982","158"
"Brandie","Villarreal","07.10.1971","460"
"Micah","Salazar","26.01.1995","256"
"Seth","Roy","28.02.1979","566"
"Meagan","Goodwin","22.05.1982","482"
"Florence","Rose","02.12.1999","783"
"Terry","Randolph","22.04.1978","593"
"Millie","Holloway","10.02.1994","127"
"Gina","Wright","27.10.1992","934"
"Tanisha","Soto","15.08.1979","516"
"Liza","Leach","20.03.1972","771"
"Bruce","Gates","25.11.1992","150"
"Eduardo","Faulkner","07.11.1972","575"
"Rebekah","Harper","27.10.1993","336"
"Reyes","May","28.04.1994","365"
"Jose","Sims","26.10.2000","626"
