firstName,lastName,birthDate,post
"Ryan","Clark","28.09.1995","Кассир"
"Gracie","Nielsen","16.09.1976","Менеджер"
"Royal","Neal","08.08.1973","Директор"
"Daniel","Stout","07.06.1978","Директор"
"Sanford","Clark","02.05.1975","Директор"
"Brice","Jefferson","07.05.1999","Консультант"
"Cassie","Clark","07.12.2000","Уборщик"
"Tisha","Mcdowell","05.01.1990","Менеджер"
"Jonathon","Mullins","04.12.1990","Директор"
"Emma","Bridges","18.08.1977","Директор"
"Carlo","Delgado","06.05.1988","Директор"
"Guadalupe","Britt","18.07.1973","Консультант"
"Gary","Mosley","19.07.1983","Менеджер"
"Ava","Camacho","11.03.1983","Кассир"
"Amie","Warner","12.12.1977","Кассир"
"Margarita","Snyder","05.07.1992","Кассир"
"Damion","Evans","10.09.1986","Менеджер"
"Jeannine","Peters","25.08.1984","Консультант"
"Michele","Wiggins","17.07.1998","Консультант"
"Katherine","Fitzgerald","14.04.1985","Кассир"
"Antwan","Lindsey","28.12.1979","Консультант"
"Wilmer","Scott","17.09.1994","Менеджер"
"Ty","Sellers","08.04.1978","Кассир"
"Chelsea","Terry","25.11.1989","Консультант"
"Donovan","Becker","24.11.1985","Кассир"
"Gordon","Lindsey","17.05.1976","Кассир"
"Rhonda","Bauer","25.06.1992","Консультант"
"Bret","Gilliam","27.07.1978","Консультант"
"Sung","Luna","21.02.1996","Кассир"
"Randell","Bright","23.12.1976","Кассир"
"Dewey","Washington","25.07.1975","Уборщик"
"Rhea","Caldwell","16.08.1970","Директор"
"Kelli","Cleveland","26.02.1991","Директор"
"Edwin","Valencia","12.07.1981","Консультант"
"Santiago","Ingram","18.11.1981","Менеджер"
"Christie","Hays","15.10.1998","Уборщик"
"Freida","Moran","22.11.1991","Уборщик"
"Candace","Lambert","14.12.1985","Консультант"
"Robyn","Sutton","17.08.1993","Менеджер"
"Don","Andrews","09.07.1973","Менеджер"
"Carl","Hobbs","22.11.1973","Уборщик"
"Carmela","Davidson","10.12.1980","Менеджер"
"Karl","Benson","13.12.1998","Консультант"
"Chance","Adkins","12.10.1998","Кассир"
"Geneva","Maddox","14.01.1982","Директор"
"Brittney","Langley","08.12.1978","Консультант"
"Curtis","Hurley","19.01.1995","Уборщик"
"Jacques","Rosario","17.05.1974","Уборщик"
"Lynda","Franks","05.03.1976","Кассир"
"Barney","Sargent","02.08.1988","Консультант"
"Agnes","Cash","10.05.1985","Консультант"
"Jim","Frost","28.09.2000","Уборщик"
"Maurice","Joyce","02.11.1998","Консультант"
"Juliana","Rocha","06.09.1980","Кассир"
"Cedric","Mullins","05.03.1975","Менеджер"
"Latoya","Bryant","25.10.1975","Менеджер"
"Valentin","Walsh","18.02.1975","Менеджер"
"Wyatt","Carney","22.11.1990","Кассир"
"Jorge","Castillo","18.07.1992","Директор"
"Lakisha","Rush","14.06.2000","Кассир"
"Shaun","Lucas","27.04.1981","Менеджер"
"Sergio","Holt","24.12.1987","Директор"
"Nathan","Oneal","20.06.1988","Уборщик"
"Hank","Fuller","17.11.1972","Кассир"
"Clarence","Wynn","13.05.1996","Консультант"
"Britney","Daniels","11.04.1978","Консультант"
"Jacques","Carrillo","01.10.1989","Уборщик"
"Tanner","Sloan","28.12.1980","Уборщик"
"Gloria","Norman","18.09.1976","Менеджер"
"Felipe","Grimes","23.02.1989","Консультант"
"Dina","Bryant","20.01.1994","Менеджер"
"Denise","Fleming","20.12.1981","Уборщик"
"Alfonzo","Baker","06.10.1986","Уборщик"
"Dixie","Alvarado","16.11.1985","Кассир"
"Stacie","Strickland","19.03.1984","Консультант"
"Jamal","Fernandez","21.03.1999","Консультант"
"Jeremy","Welch","11.06.1977","Директор"
"Imelda","Thomas","20.05.1973","Директор"
"Milagros","Nash","02.12.1987","Уборщик"
"Freddie","Ingram","06.07.1995","Уборщик"
"Benito","Davidson","13.11.1979","Кассир"
"Tabitha","Tucker","21.01.1982","Уборщик"
"Rachael","Moore","06.09.1972","Консультант"
"Juana","Aguirre","23.07.1976","Консультант"
"Myron","Weeks","04.11.1998","Кассир"
"April","Soto","09.10.2000","Уборщик"
"Bob","Palmer","22.10.1994","Уборщик"
"Jasper","Madden","05.06.1991","Консультант"
"Tommie","Hale","27.01.1983","Директор"
"Tasha","Golden","08.10.1980","Директор"
"Melanie","Rivers","25.02.1977","Консультант"
"Mickey","Cash","05.07.1994","Менеджер"
"Sherry","Hayes","04.08.1978","Уборщик"
"Patricia","Montoya","20.09.1982","Консультант"
"Marquita","Oneill","25.11.1984","Менеджер"
"Osvaldo","Carver","16.11.1995","Уборщик"
"Derick","Henry","07.12.1989","Уборщик"
"Coy","Glass","11.09.1980","Уборщик"
"Beverley","Good","13.04.1977","Уборщик"
"Murray","Browning","25.06.1994","Менеджер"
